month,primary_type,incidents,year,month_num
2021-12-01,Interference With Public Officer,27,2021,12
2021-12-01,Intimidation,14,2021,12
2021-12-01,Kidnapping,7,2021,12
2021-12-01,Liquor Law Violation,16,2021,12
2021-12-01,Motor Vehicle Theft,1097,2021,12
2021-12-01,Narcotics,257,2021,12
2021-12-01,Non-Criminal,1,2021,12
2021-12-01,Obscenity,3,2021,12
2021-12-01,Offense Involving Children,167,2021,12
2021-12-01,Other Offense,1028,2021,12
2021-12-01,Prostitution,22,2021,12
2021-12-01,Public Indecency,1,2021,12
2021-12-01,Public Peace Violation,46,2021,12
2021-12-01,Robbery,901,2021,12
2021-12-01,Sex Offense,85,2021,12
2021-12-01,Stalking,28,2021,12
2021-12-01,Theft,3831,2021,12
2021-12-01,Weapons Violation,620,2021,12
2022-01-01,All Types,15771,2022,1
2022-01-01,Arson,26,2022,1
2022-01-01,Assault,1324,2022,1
2022-01-01,Battery,2849,2022,1
2022-01-01,Burglary,579,2022,1
2022-01-01,Concealed Carry License Violation,12,2022,1
2022-01-01,Criminal Damage,1688,2022,1
2022-01-01,Criminal Sexual Assault,117,2022,1
2022-01-01,Criminal Trespass,264,2022,1
2022-01-01,Deceptive Practice,1378,2022,1
2022-01-01,Homicide,55,2022,1
2022-01-01,Human Trafficking,2,2022,1
2022-01-01,Interference With Public Officer,20,2022,1
2022-01-01,Intimidation,14,2022,1
2022-01-01,Kidnapping,7,2022,1
2022-01-01,Liquor Law Violation,5,2022,1
2022-01-01,Motor Vehicle Theft,1108,2022,1
2022-01-01,Narcotics,271,2022,1
2022-01-01,Obscenity,3,2022,1
2022-01-01,Offense Involving Children,168,2022,1
2022-01-01,Other Offense,1078,2022,1
2022-01-01,Prostitution,22,2022,1
2022-01-01,Public Peace Violation,25,2022,1
2022-01-01,Robbery,686,2022,1
2022-01-01,Sex Offense,97,2022,1
2022-01-01,Stalking,30,2022,1
2022-01-01,Theft,3394,2022,1
2022-01-01,Weapons Violation,549,2022,1
2022-02-01,All Types,15294,2022,2
2022-02-01,Arson,26,2022,2
2022-02-01,Assault,1393,2022,2
2022-02-01,Battery,2760,2022,2
2022-02-01,Burglary,510,2022,2
2022-02-01,Concealed Carry License Violation,14,2022,2
2022-02-01,Criminal Damage,1554,2022,2
2022-02-01,Criminal Sexual Assault,125,2022,2
2022-02-01,Criminal Trespass,291,2022,2
2022-02-01,Deceptive Practice,1101,2022,2
2022-02-01,Homicide,45,2022,2
2022-02-01,Human Trafficking,2,2022,2
2022-02-01,Interference With Public Officer,40,2022,2
2022-02-01,Intimidation,6,2022,2
2022-02-01,Kidnapping,5,2022,2
2022-02-01,Liquor Law Violation,4,2022,2
2022-02-01,Motor Vehicle Theft,963,2022,2
2022-02-01,Narcotics,471,2022,2
2022-02-01,Offense Involving Children,157,2022,2
2022-02-01,Other Narcotic Violation,1,2022,2
2022-02-01,Other Offense,1110,2022,2
2022-02-01,Prostitution,41,2022,2
2022-02-01,Public Peace Violation,47,2022,2
2022-02-01,Robbery,616,2022,2
2022-02-01,Sex Offense,76,2022,2
2022-02-01,Stalking,27,2022,2
2022-02-01,Theft,3331,2022,2
2022-02-01,Weapons Violation,578,2022,2
2022-03-01,All Types,18444,2022,3
2022-03-01,Arson,23,2022,3
2022-03-01,Assault,1628,2022,3
2022-03-01,Battery,3356,2022,3
2022-03-01,Burglary,578,2022,3
2022-03-01,Concealed Carry License Violation,18,2022,3
2022-03-01,Criminal Damage,1990,2022,3
2022-03-01,Criminal Sexual Assault,121,2022,3
2022-03-01,Criminal Trespass,363,2022,3
2022-03-01,Deceptive Practice,1446,2022,3
2022-03-01,Gambling,1,2022,3
2022-03-01,Homicide,39,2022,3
2022-03-01,Human Trafficking,1,2022,3
2022-03-01,Interference With Public Officer,25,2022,3
2022-03-01,Intimidation,18,2022,3
2022-03-01,Kidnapping,8,2022,3
2022-03-01,Liquor Law Violation,21,2022,3
2022-03-01,Motor Vehicle Theft,1076,2022,3
2022-03-01,Narcotics,509,2022,3
2022-03-01,Obscenity,6,2022,3
2022-03-01,Offense Involving Children,159,2022,3
2022-03-01,Other Offense,1383,2022,3
2022-03-01,Prostitution,1,2022,3
2022-03-01,Public Peace Violation,55,2022,3
2022-03-01,Robbery,590,2022,3
2022-03-01,Sex Offense,123,2022,3
2022-03-01,Stalking,34,2022,3
2022-03-01,Theft,4170,2022,3
2022-03-01,Weapons Violation,702,2022,3
2022-04-01,All Types,18084,2022,4
2022-04-01,Arson,33,2022,4
2022-04-01,Assault,1560,2022,4
2022-04-01,Battery,3373,2022,4
2022-04-01,Burglary,561,2022,4
2022-04-01,Concealed Carry License Violation,14,2022,4
2022-04-01,Criminal Damage,2033,2022,4
2022-04-01,Criminal Sexual Assault,130,2022,4
2022-04-01,Criminal Trespass,355,2022,4
2022-04-01,Deceptive Practice,1399,2022,4
2022-04-01,Homicide,54,2022,4
2022-04-01,Interference With Public Officer,27,2022,4
2022-04-01,Intimidation,11,2022,4
2022-04-01,Kidnapping,5,2022,4
2022-04-01,Liquor Law Violation,15,2022,4
2022-04-01,Motor Vehicle Theft,1001,2022,4
2022-04-01,Narcotics,478,2022,4
2022-04-01,Non-Criminal,2,2022,4
2022-04-01,Obscenity,4,2022,4
2022-04-01,Offense Involving Children,161,2022,4
2022-04-01,Other Offense,1356,2022,4
2022-04-01,Prostitution,35,2022,4
2022-04-01,Public Peace Violation,68,2022,4
2022-04-01,Robbery,601,2022,4
2022-04-01,Sex Offense,93,2022,4
2022-04-01,Stalking,35,2022,4
2022-04-01,Theft,3932,2022,4
2022-04-01,Weapons Violation,748,2022,4
2022-05-01,All Types,20229,2022,5
2022-05-01,Arson,44,2022,5
2022-05-01,Assault,1979,2022,5
2022-05-01,Battery,3935,2022,5
2022-05-01,Burglary,605,2022,5
2022-05-01,Concealed Carry License Violation,19,2022,5
2022-05-01,Criminal Damage,2192,2022,5
2022-05-01,Criminal Sexual Assault,151,2022,5
2022-05-01,Criminal Trespass,389,2022,5
2022-05-01,Deceptive Practice,1358,2022,5
2022-05-01,Gambling,3,2022,5
2022-05-01,Homicide,66,2022,5
2022-05-01,Human Trafficking,2,2022,5
2022-05-01,Interference With Public Officer,40,2022,5
2022-05-01,Intimidation,10,2022,5
2022-05-01,Kidnapping,11,2022,5
2022-05-01,Liquor Law Violation,25,2022,5
2022-05-01,Motor Vehicle Theft,1034,2022,5
2022-05-01,Narcotics,411,2022,5
2022-05-01,Offense Involving Children,192,2022,5
2022-05-01,Other Offense,1368,2022,5
2022-05-01,Prostitution,39,2022,5
2022-05-01,Public Indecency,1,2022,5
2022-05-01,Public Peace Violation,79,2022,5
2022-05-01,Robbery,669,2022,5
2022-05-01,Sex Offense,112,2022,5
2022-05-01,Stalking,38,2022,5
2022-05-01,Theft,4501,2022,5
2022-05-01,Weapons Violation,956,2022,5
2022-06-01,All Types,20870,2022,6
2022-06-01,Arson,37,2022,6
2022-06-01,Assault,2012,2022,6
2022-06-01,Battery,3848,2022,6
2022-06-01,Burglary,674,2022,6
2022-06-01,Concealed Carry License Violation,16,2022,6
2022-06-01,Criminal Damage,2328,2022,6
2022-06-01,Criminal Sexual Assault,147,2022,6
2022-06-01,Criminal Trespass,365,2022,6
2022-06-01,Deceptive Practice,1404,2022,6
2022-06-01,Gambling,1,2022,6
2022-06-01,Homicide,73,2022,6
2022-06-01,Human Trafficking,2,2022,6
2022-06-01,Interference With Public Officer,45,2022,6
2022-06-01,Intimidation,11,2022,6
2022-06-01,Kidnapping,10,2022,6
2022-06-01,Liquor Law Violation,33,2022,6
2022-06-01,Motor Vehicle Theft,1138,2022,6
2022-06-01,Narcotics,389,2022,6
2022-06-01,Obscenity,4,2022,6
2022-06-01,Offense Involving Children,136,2022,6
2022-06-01,Other Offense,1319,2022,6
2022-06-01,Prostitution,9,2022,6
2022-06-01,Public Indecency,1,2022,6
2022-06-01,Public Peace Violation,84,2022,6
2022-06-01,Robbery,732,2022,6
2022-06-01,Sex Offense,98,2022,6
2022-06-01,Stalking,38,2022,6
2022-06-01,Theft,5051,2022,6
2022-06-01,Weapons Violation,865,2022,6
2022-07-01,All Types,22358,2022,7
2022-07-01,Arson,39,2022,7
2022-07-01,Assault,1965,2022,7
2022-07-01,Battery,3754,2022,7
2022-07-01,Burglary,700,2022,7
2022-07-01,Concealed Carry License Violation,16,2022,7
2022-07-01,Criminal Damage,2568,2022,7
2022-07-01,Criminal Sexual Assault,157,2022,7
2022-07-01,Criminal Trespass,382,2022,7
2022-07-01,Deceptive Practice,1359,2022,7
2022-07-01,Gambling,2,2022,7
2022-07-01,Homicide,69,2022,7
2022-07-01,Interference With Public Officer,41,2022,7
2022-07-01,Intimidation,16,2022,7
2022-07-01,Kidnapping,15,2022,7
2022-07-01,Liquor Law Violation,22,2022,7
2022-07-01,Motor Vehicle Theft,1766,2022,7
2022-07-01,Narcotics,371,2022,7
2022-07-01,Obscenity,3,2022,7
2022-07-01,Offense Involving Children,185,2022,7
2022-07-01,Other Narcotic Violation,1,2022,7
2022-07-01,Other Offense,1315,2022,7
2022-07-01,Prostitution,8,2022,7
2022-07-01,Public Peace Violation,66,2022,7
2022-07-01,Robbery,764,2022,7
2022-07-01,Sex Offense,109,2022,7
2022-07-01,Stalking,36,2022,7
2022-07-01,Theft,5737,2022,7
2022-07-01,Weapons Violation,892,2022,7
2022-08-01,All Types,22404,2022,8
2022-08-01,Arson,40,2022,8
2022-08-01,Assault,1985,2022,8
2022-08-01,Battery,3748,2022,8
2022-08-01,Burglary,672,2022,8
2022-08-01,Concealed Carry License Violation,15,2022,8
2022-08-01,Criminal Damage,2714,2022,8
2022-08-01,Criminal Sexual Assault,148,2022,8
2022-08-01,Criminal Trespass,392,2022,8
2022-08-01,Deceptive Practice,1496,2022,8
2022-08-01,Gambling,2,2022,8
2022-08-01,Homicide,71,2022,8
2022-08-01,Human Trafficking,1,2022,8
2022-08-01,Interference With Public Officer,33,2022,8
2022-08-01,Intimidation,15,2022,8
2022-08-01,Kidnapping,10,2022,8
2022-08-01,Liquor Law Violation,7,2022,8
2022-08-01,Motor Vehicle Theft,2115,2022,8
2022-08-01,Narcotics,422,2022,8
2022-08-01,Obscenity,7,2022,8
2022-08-01,Offense Involving Children,193,2022,8
2022-08-01,Other Narcotic Violation,1,2022,8
2022-08-01,Other Offense,1217,2022,8
2022-08-01,Prostitution,23,2022,8
2022-08-01,Public Indecency,1,2022,8
2022-08-01,Public Peace Violation,56,2022,8
2022-08-01,Robbery,752,2022,8
2022-08-01,Sex Offense,132,2022,8
2022-08-01,Stalking,48,2022,8
2022-08-01,Theft,5256,2022,8
2022-08-01,Weapons Violation,832,2022,8
2022-09-01,All Types,22435,2022,9
2022-09-01,Arson,49,2022,9
2022-09-01,Assault,1895,2022,9
2022-09-01,Battery,3732,2022,9
2022-09-01,Burglary,655,2022,9
2022-09-01,Concealed Carry License Violation,13,2022,9
2022-09-01,Criminal Damage,2620,2022,9
2022-09-01,Criminal Sexual Assault,138,2022,9
2022-09-01,Criminal Trespass,378,2022,9
2022-09-01,Deceptive Practice,1617,2022,9
2022-09-01,Homicide,77,2022,9
2022-09-01,Interference With Public Officer,38,2022,9
2022-09-01,Intimidation,19,2022,9
2022-09-01,Kidnapping,14,2022,9
