year,community_area,primary_type,not_arrests,arrests,incidents,community_name,acs_year,total_population,arrest_rate,incidents_per_100k
2021,3,Interference With Public Officer,1,2,3,Uptown,2023,52674,66.67,5.7
2021,3,Intimidation,2,0,2,Uptown,2023,52674,0.0,3.8
2021,3,Kidnapping,1,0,1,Uptown,2023,52674,0.0,1.9
2021,3,Liquor Law Violation,0,3,3,Uptown,2023,52674,100.0,5.7
2021,3,Motor Vehicle Theft,91,2,93,Uptown,2023,52674,2.15,176.56
2021,3,Narcotics,3,22,25,Uptown,2023,52674,88.0,47.46
2021,3,Obscenity,1,0,1,Uptown,2023,52674,0.0,1.9
2021,3,Offense Involving Children,19,1,20,Uptown,2023,52674,5.0,37.97
2021,3,Other Offense,210,19,229,Uptown,2023,52674,8.3,434.75
2021,3,Public Peace Violation,4,4,8,Uptown,2023,52674,50.0,15.19
2021,3,Robbery,88,14,102,Uptown,2023,52674,13.73,193.64
2021,3,Sex Offense,20,3,23,Uptown,2023,52674,13.04,43.66
2021,3,Stalking,11,1,12,Uptown,2023,52674,8.33,22.78
2021,3,Theft,803,24,827,Uptown,2023,52674,2.9,1570.03
2021,3,Weapons Violation,6,23,29,Uptown,2023,52674,79.31,55.06
2021,4,Assault,104,15,119,Lincoln Square,2023,42180,12.61,282.12
2021,4,Battery,221,56,277,Lincoln Square,2023,42180,20.22,656.71
2021,4,Burglary,79,6,85,Lincoln Square,2023,42180,7.06,201.52
2021,4,Criminal Damage,190,13,203,Lincoln Square,2023,42180,6.4,481.27
2021,4,Criminal Sexual Assault,13,0,13,Lincoln Square,2023,42180,0.0,30.82
2021,4,Criminal Trespass,39,12,51,Lincoln Square,2023,42180,23.53,120.91
2021,4,Deceptive Practice,214,2,216,Lincoln Square,2023,42180,0.93,512.09
2021,4,Homicide,1,1,2,Lincoln Square,2023,42180,50.0,4.74
2021,4,Intimidation,1,0,1,Lincoln Square,2023,42180,0.0,2.37
2021,4,Motor Vehicle Theft,41,2,43,Lincoln Square,2023,42180,4.65,101.94
2021,4,Narcotics,1,12,13,Lincoln Square,2023,42180,92.31,30.82
2021,4,Obscenity,0,1,1,Lincoln Square,2023,42180,100.0,2.37
2021,4,Offense Involving Children,7,1,8,Lincoln Square,2023,42180,12.5,18.97
2021,4,Other Offense,86,2,88,Lincoln Square,2023,42180,2.27,208.63
2021,4,Public Peace Violation,2,0,2,Lincoln Square,2023,42180,0.0,4.74
2021,4,Robbery,39,3,42,Lincoln Square,2023,42180,7.14,99.57
2021,4,Sex Offense,9,2,11,Lincoln Square,2023,42180,18.18,26.08
2021,4,Stalking,3,0,3,Lincoln Square,2023,42180,0.0,7.11
2021,4,Theft,501,15,516,Lincoln Square,2023,42180,2.91,1223.33
2021,4,Weapons Violation,6,4,10,Lincoln Square,2023,42180,40.0,23.71
2021,5,Assault,62,7,69,North Center,2023,35782,10.14,192.83
2021,5,Battery,97,15,112,North Center,2023,35782,13.39,313.01
2021,5,Burglary,59,0,59,North Center,2023,35782,0.0,164.89
2021,5,Criminal Damage,110,2,112,North Center,2023,35782,1.79,313.01
2021,5,Criminal Sexual Assault,5,2,7,North Center,2023,35782,28.57,19.56
2021,5,Criminal Trespass,24,3,27,North Center,2023,35782,11.11,75.46
2021,5,Deceptive Practice,165,1,166,North Center,2023,35782,0.6,463.92
2021,5,Homicide,0,2,2,North Center,2023,35782,100.0,5.59
2021,5,Interference With Public Officer,0,2,2,North Center,2023,35782,100.0,5.59
2021,5,Intimidation,2,0,2,North Center,2023,35782,0.0,5.59
2021,5,Liquor Law Violation,0,1,1,North Center,2023,35782,100.0,2.79
2021,5,Motor Vehicle Theft,35,2,37,North Center,2023,35782,5.41,103.4
2021,5,Narcotics,0,4,4,North Center,2023,35782,100.0,11.18
2021,5,Obscenity,0,1,1,North Center,2023,35782,100.0,2.79
2021,5,Offense Involving Children,5,2,7,North Center,2023,35782,28.57,19.56
2021,5,Other Offense,52,2,54,North Center,2023,35782,3.7,150.91
2021,5,Public Peace Violation,5,0,5,North Center,2023,35782,0.0,13.97
2021,5,Robbery,17,1,18,North Center,2023,35782,5.56,50.3
2021,5,Sex Offense,8,1,9,North Center,2023,35782,11.11,25.15
2021,5,Stalking,2,0,2,North Center,2023,35782,0.0,5.59
2021,5,Theft,313,11,324,North Center,2023,35782,3.4,905.48
2021,5,Weapons Violation,3,5,8,North Center,2023,35782,62.5,22.36
2021,6,Arson,4,0,4,Lake View,2023,90652,0.0,4.41
2021,6,Assault,248,37,285,Lake View,2023,90652,12.98,314.39
2021,6,Battery,519,133,652,Lake View,2023,90652,20.4,719.23
2021,6,Burglary,178,17,195,Lake View,2023,90652,8.72,215.11
2021,6,Concealed Carry License Violation,0,2,2,Lake View,2023,90652,100.0,2.21
2021,6,Criminal Damage,403,29,432,Lake View,2023,90652,6.71,476.55
2021,6,Criminal Sexual Assault,50,1,51,Lake View,2023,90652,1.96,56.26
2021,6,Criminal Trespass,77,38,115,Lake View,2023,90652,33.04,126.86
2021,6,Deceptive Practice,585,12,597,Lake View,2023,90652,2.01,658.56
2021,6,Homicide,0,2,2,Lake View,2023,90652,100.0,2.21
2021,6,Interference With Public Officer,0,1,1,Lake View,2023,90652,100.0,1.1
2021,6,Intimidation,4,0,4,Lake View,2023,90652,0.0,4.41
2021,6,Kidnapping,1,0,1,Lake View,2023,90652,0.0,1.1
2021,6,Liquor Law Violation,0,5,5,Lake View,2023,90652,100.0,5.52
2021,6,Motor Vehicle Theft,212,8,220,Lake View,2023,90652,3.64,242.69
2021,6,Narcotics,0,16,16,Lake View,2023,90652,100.0,17.65
2021,6,Obscenity,0,2,2,Lake View,2023,90652,100.0,2.21
2021,6,Offense Involving Children,5,1,6,Lake View,2023,90652,16.67,6.62
2021,6,Other Offense,190,8,198,Lake View,2023,90652,4.04,218.42
